Id,Runs,Boundaries,Six,Fifty,Hundred,Duck,Batting_Points,Wickets,4W_Haul,5W_Haul,Maidens,Bowling_Points,Total Points
1_Bipul Sharma,0,0,0,0,0,0,0,1,0,0,0,25,25
1_DJ Hooda,16,1,1,0,0,0,19,1,0,0,0,25,44
1_KM Jadhav,31,5,1,0,0,0,38,0,0,0,0,0,38
1_Mandeep Singh,24,5,0,0,0,0,29,0,0,0,0,0,29
1_Yuvraj Singh,62,10,3,1,0,0,86,0,0,0,0,0,86
1_STR Binny,11,1,1,0,0,0,14,1,0,0,0,25,39
1_TS Mills,6,1,1,0,0,0,9,1,0,0,0,25,34
1_TM Head,30,3,0,0,0,0,33,0,0,0,0,0,33
1_A Choudhary,6,1,1,0,0,0,9,1,0,0,0,25,34
1_Sachin Baby,1,0,0,0,0,0,1,0,0,0,0,0,1
1_B Kumar,0,0,0,0,0,0,0,2,0,0,0,50,50
1_CH Gayle,32,5,3,0,0,0,43,0,0,0,0,0,43
1_A Nehra,0,0,0,0,0,0,0,2,0,0,0,50,50
1_SR Watson,22,2,1,0,0,0,26,0,0,0,0,0,26
1_DA Warner,14,3,1,0,0,0,19,0,0,0,0,0,19
1_Rashid Khan,0,0,0,0,0,0,0,2,0,0,0,50,50
1_MC Henriques,52,5,2,1,0,0,69,0,0,0,0,0,69
1_S Aravind,0,0,0,0,0,1,-2,0,0,0,0,0,-2
1_YS Chahal,3,0,0,0,0,0,3,1,0,0,0,25,28
1_BCJ Cutting,16,2,2,0,0,0,22,0,0,0,0,0,22
1_S Dhawan,40,5,0,0,0,0,45,0,0,0,0,0,45
2_KA Pollard,27,4,1,0,0,0,33,0,0,0,0,0,33
2_SPD Smith,84,10,3,1,0,0,108,0,0,0,0,0,108
2_R Bhatia,0,0,0,0,0,0,0,2,0,0,0,50,50
2_BA Stokes,21,3,0,0,0,0,24,1,0,0,0,25,49
2_N Rana,34,3,2,0,0,0,41,0,0,0,0,0,41
2_MS Dhoni,12,1,0,0,0,0,13,0,0,0,0,0,13
2_KH Pandya,3,0,0,0,0,0,3,0,0,0,0,0,3
2_DL Chahar,0,0,0,0,0,0,0,0,0,0,0,0,0
2_TG Southee,7,1,1,0,0,0,10,1,0,0,0,25,35
2_MA Agarwal,6,1,0,0,0,0,7,0,0,0,0,0,7
2_A Zampa,0,0,0,0,0,0,0,1,0,0,0,25,25
2_PA Patel,19,4,0,0,0,0,23,0,0,0,0,0,23
2_AT Rayudu,10,0,0,0,0,0,10,0,0,0,0,0,10
2_Imran Tahir,0,0,0,0,0,0,0,3,0,0,0,75,75
2_AB Dinda,0,0,0,0,0,0,0,0,0,0,0,0,0
2_JJ Bumrah,0,0,0,0,0,0,0,0,0,0,0,0,0
2_MJ McClenaghan,0,0,0,0,0,0,0,1,0,0,0,25,25
2_JC Buttler,38,6,3,0,0,0,50,0,0,0,0,0,50
2_AM Rahane,60,9,3,1,0,0,83,0,0,0,0,0,83
